,Brand,Owner,kilometers,Fuel,Transmission,Model,Price
0,2012 Maruti Swift Dzire,1st Owner,"2,13,186 km",Diesel,Manual,VDI BS IV Manual,"₹2,63,299"
1,2012 Maruti Swift,1st Owner,"38,061 km",Diesel,Manual,VDI Manual,"₹2,92,299"
2,2012 Maruti Swift,1st Owner,"31,084 km",Diesel,Manual,VDI Manual,"₹2,82,099"
3,2012 Maruti Swift,1st Owner,"26,568 km",Diesel,Manual,VDI Manual,"₹2,89,099"
4,2017 Nissan Terrano,1st Owner,"49,610 km",Diesel,Automatic,XV PREMIUM 110 PS AMT DEISEL Automatic,"₹7,73,899"
5,2010 Maruti Ritz,2nd Owner,"77,787 km",Petrol,Manual,LXI Manual,"₹2,48,299"
6,2014 Maruti Swift,1st Owner,"1,07,206 km",Petrol,Manual,VXI Manual,"₹4,07,299"
7,2014 Maruti Swift Dzire,1st Owner,"76,013 km",Diesel,Manual,LDI BS IV Manual,"₹3,54,799"
8,2015 Maruti Swift,1st Owner,"44,638 km",Diesel,Manual,VDI ABS Manual,"₹4,40,899"
9,2014 Maruti Swift Dzire,1st Owner,"96,978 km",Diesel,Manual,VDI BS IV Manual,"₹4,24,499"
10,2017 Ford Figo Aspire,1st Owner,"31,724 km",Petrol,Manual,1.2 TITANIUM PETROL Manual,"₹4,73,299"
11,2014 Maruti Ritz,1st Owner,"43,382 km",Diesel,Manual,VDI Manual,"₹3,40,599"
12,2013 Maruti Swift,1st Owner,"1,14,506 km",Diesel,Manual,VDI Manual,"₹3,45,499"
13,2013 Hyundai i20,1st Owner,"64,361 km",Diesel,Manual,SPORTZ 1.4 CRDI Manual,"₹3,72,099"
14,2013 Toyota Innova,1st Owner,"63,747 km",Diesel,Manual,2.5 GX 8 STR BS IV Manual,"₹7,10,199"
15,2016 Maruti Swift Dzire,1st Owner,"52,093 km",Petrol,Manual,VXI 1.2 BS IV Manual,"₹4,63,999"
16,2013 Maruti Ertiga,1st Owner,"39,487 km",Diesel,Manual,VDI ABS Manual,"₹5,26,699"
17,2017 Maruti Swift,1st Owner,"71,827 km",Diesel,Manual,LDI O Manual,"₹4,39,399"
18,2013 Maruti Swift,1st Owner,"66,350 km",Diesel,Manual,VDI Manual,"₹3,40,199"
19,2014 Maruti Swift,1st Owner,"78,595 km",Petrol,Manual,LXI Manual,"₹4,01,199"
20,2014 Maruti Swift,1st Owner,"56,221 km",Petrol,Manual,VXI Manual,"₹4,09,299"
21,2013 Toyota Fortuner,1st Owner,"76,953 km",Diesel,Manual,3.0 MT 4X2 Manual,"₹12,48,499"
22,2014 Ford Ecosport,1st Owner,"1,02,117 km",Diesel,Manual,1.5 TREND TDCI Manual,"₹4,32,999"
23,2014 Maruti Swift,1st Owner,"68,404 km",Diesel,Manual,VDI Manual,"₹3,92,699"
24,2013 Ford Ecosport,1st Owner,"1,13,857 km",Diesel,Manual,1.5 AMBIENTE TDCI Manual,"₹3,80,299"
25,2016 Ford Ecosport,1st Owner,"34,842 km",Petrol,Manual,1.5AMBIENTE TI VCT Manual,"₹5,42,399"
26,2018 Honda City,1st Owner,"37,695 km",Petrol,Manual,V MT PETROL Manual,"₹8,20,699"
27,2014 Toyota Innova,1st Owner,"84,036 km",Diesel,Manual,2.5 VX 8 STR BS IV Manual,"₹10,24,099"
28,2017 Maruti Ciaz,1st Owner,"1,07,013 km",Diesel,Manual,VDI+ SHVS Manual,"₹6,38,799"
29,2014 Maruti Ciaz,1st Owner,"93,428 km",Diesel,Manual,VDI PLUS Manual,"₹5,12,299"
30,2015 Maruti Swift,1st Owner,"89,196 km",Diesel,Manual,VDI ABS Manual,"₹4,24,299"
31,2011 Honda City,1st Owner,"1,49,072 km",Petrol,Manual,V MT PETROL Manual,"₹3,25,499"
32,2017 Maruti Vitara Brezza,1st Owner,"35,231 km",Diesel,Manual,VDI OPT Manual,"₹6,84,399"
33,2020 KIA SELTOS,2nd Owner,"5,822 km",Petrol,Manual,HTK 1.5 PETROL Manual,"₹11,15,899"
34,2014 Ford Ecosport,1st Owner,"59,119 km",Petrol,Manual,1.0 ECOBOOST TITANIUM OPT Manual,"₹5,42,199"
35,2016 Maruti Vitara Brezza,2nd Owner,"73,453 km",Diesel,Manual,VDI OPT Manual,"₹6,39,199"
36,2016 Maruti Baleno,1st Owner,"34,818 km",Petrol,Manual,ZETA 1.2 K12 Manual,"₹5,39,099"
37,2018 Hyundai Tucson New,1st Owner,"58,368 km",Diesel,Automatic,2WD AT GL DIESEL Automatic,"₹16,38,299"
38,2014 Hyundai Xcent,1st Owner,"42,384 km",Petrol,Manual,BASE 1.2 Manual,"₹3,88,699"
39,2016 Maruti Vitara Brezza,2nd Owner,"29,749 km",Diesel,Manual,ZDI PLUS DUAL TONE Manual,"₹6,90,099"
40,2018 Ford FREESTYLE,1st Owner,"43,484 km",Petrol,Manual,TITANIUM + 1.2 TI-VCT Manual,"₹5,16,899"
41,2017 Maruti Vitara Brezza,1st Owner,"35,406 km",Diesel,Manual,VDI OPT Manual,"₹7,38,299"
42,2018 Hyundai Elite i20,1st Owner,"16,303 km",Petrol,Manual,ERA 1.2 Manual,"₹5,38,999"
43,2014 Toyota Corolla Altis,1st Owner,"1,03,033 km",Diesel,Manual,D 4D J Manual,"₹7,07,599"
44,2013 Hyundai New Elantra,2nd Owner,"47,959 km",Diesel,Manual,S 1.6 MT Manual,"₹6,36,099"
45,2018 Toyota YARIS,1st Owner,"16,251 km",Petrol,Manual,J MT Manual,"₹7,42,199"
46,2016 Maruti Alto K10,1st Owner,"32,669 km",Petrol,Manual,LXI Manual,"₹2,96,299"
47,2017 Ford Ecosport,1st Owner,"40,139 km",Petrol,Automatic,1.5 TITANIUM TI VCT AT Automatic,"₹7,39,299"
48,2014 Toyota Corolla Altis,1st Owner,"1,15,010 km",Petrol,Manual,G Manual,"₹7,16,399"
49,2017 Maruti Baleno,2nd Owner,"12,322 km",Petrol,Manual,DELTA 1.2 K12 Manual,"₹5,54,299"
50,2017 Hyundai Elite i20,2nd Owner,"25,579 km",Petrol,Manual,ASTA 1.2 Manual,"₹6,19,299"
51,2020 Maruti New Wagon-R,1st Owner,"1,872 km",Petrol,Manual,1.0 LXI (O) Manual,"₹5,23,599"
52,2016 Maruti Alto 800,1st Owner,"50,355 km",Petrol,Manual,LXI Manual,"₹2,78,399"
53,2020 Honda City,1st Owner,"10,322 km",Petrol,Automatic,ZX CVT Automatic,"₹13,17,899"
54,2014 Toyota Corolla Altis,1st Owner,"1,26,822 km",Diesel,Manual,D 4D G Manual,"₹7,49,499"
55,2018 Ford Ecosport,1st Owner,"25,232 km",Petrol,Manual,1.5 TITANIUM TI VCT Manual,"₹8,01,999"
56,2016 Maruti Alto 800,1st Owner,"2,831 km",Petrol,Manual,VXI Manual,"₹3,08,599"
57,2019 Renault Kwid,2nd Owner,"17,515 km",Petrol,Manual,RXL Manual,"₹3,44,499"
58,2015 Toyota Etios,1st Owner,"77,530 km",Diesel,Manual,VX D Manual,"₹5,04,999"
59,2018 Maruti Vitara Brezza,1st Owner,"82,601 km",Diesel,Manual,VDI Manual,"₹6,74,699"
60,2018 Maruti Vitara Brezza,1st Owner,"71,192 km",Diesel,Manual,VDI OPT Manual,"₹6,91,399"
61,2018 Maruti Vitara Brezza,1st Owner,"1,12,703 km",Diesel,Manual,VDI Manual,"₹6,88,899"
62,2014 Hyundai Elite i20,1st Owner,"37,833 km",Diesel,Manual,MAGNA 1.4 CRDI Manual,"₹4,85,199"
63,2015 Hyundai Elite i20,1st Owner,"70,006 km",Petrol,Manual,SPORTZ 1.2 Manual,"₹4,79,799"
64,2014 Hyundai Elite i20,1st Owner,"82,377 km",Petrol,Manual,SPORTZ (O) 1.2 Manual,"₹4,93,599"
65,2014 Toyota Innova,1st Owner,"82,096 km",Diesel,Manual,2.5 VX 8 STR BS IV Manual,"₹10,31,599"
66,2020 Hyundai AURA,1st Owner,"1,441 km",Petrol,,E MT 1.2 KAPPA,"₹5,86,799"
67,2014 Hyundai i20,1st Owner,"39,731 km",Petrol,Manual,MAGNA O 1.2 Manual,"₹4,14,199"
68,2017 Hyundai Eon,2nd Owner,"13,373 km",Petrol,Manual,D LITE PLUS Manual,"₹2,76,199"
69,2013 Toyota Fortuner,1st Owner,"1,54,297 km",Diesel,Automatic,3.0 AT 4X2 Automatic,"₹12,84,099"
70,2018 Maruti Vitara Brezza,1st Owner,"32,860 km",Diesel,Manual,ZDI Manual,"₹7,91,599"
71,2013 Mercedes Benz E Class,2nd Owner,"41,294 km",Diesel,Manual,E 250 CDI AVANTGARDE Manual,"₹16,12,199"
72,2018 Ford Ecosport,1st Owner,"47,149 km",Diesel,Manual,1.5TITANIUM TDCI Manual,"₹8,24,199"
73,2015 Mahindra XUV500,2nd Owner,"1,14,885 km",Diesel,Manual,W10 Manual,"₹9,17,799"
74,2018 Maruti Vitara Brezza,2nd Owner,"54,715 km",Diesel,Manual,VDI Manual,"₹7,25,099"
75,2016 Honda Jazz,2nd Owner,"68,769 km",Petrol,Automatic,1.2 V AT Automatic,"₹5,50,699"
76,2019 Maruti Vitara Brezza,1st Owner,"56,076 km",Diesel,Automatic,VDI AMT Automatic,"₹8,69,699"
77,2019 Maruti New Wagon-R,1st Owner,"1,991 km",Petrol,,LXI 1.0 L,"₹5,43,299"
78,2015 Maruti Swift,1st Owner,"37,925 km",Diesel,Manual,VDI ABS Manual,"₹4,08,699"
79,2018 Maruti Celerio X,1st Owner,"46,829 km",Petrol,Automatic,ZXI OPT AMT Automatic,"₹4,80,899"
80,2019 Maruti Alto K10,1st Owner,"32,787 km",Petrol,Manual,VXI Manual,"₹3,91,499"
81,2017 Maruti IGNIS,1st Owner,"15,302 km",Petrol,Manual,ZETA 1.2 K12 Manual,"₹5,47,699"
82,2014 Hyundai Xcent,2nd Owner,"60,824 km",Petrol,Manual,SX 1.2 OPT Manual,"₹4,22,799"
83,2020 Maruti Vitara Brezza,1st Owner,"20,024 km",Petrol,Automatic,ZXI AT SHVS Automatic,"₹10,67,799"
84,2020 Maruti Vitara Brezza,1st Owner,"17,465 km",Diesel,Automatic,ZDI + AMT Automatic,"₹11,71,899"
85,2013 Volkswagen Vento,1st Owner,"75,030 km",Diesel,Manual,HIGHLINE DIESEL Manual,"₹3,74,499"
86,2015 Hyundai Elite i20,1st Owner,"34,212 km",Diesel,Manual,MAGNA 1.4 CRDI Manual,"₹5,40,999"
87,2013 Hyundai i20,1st Owner,"43,949 km",Petrol,Manual,SPORTZ 1.2 VTVT Manual,"₹3,96,399"
88,2016 Hyundai Creta,1st Owner,"55,835 km",Diesel,Manual,1.6 SX (O) CRDI Manual,"₹9,48,299"
89,2014 Audi Q3,1st Owner,"66,027 km",Diesel,Manual,2.0 TDI MT S EDITION Manual,"₹13,19,499"
90,2014 Ford Ecosport,1st Owner,"1,22,729 km",Diesel,Manual,1.5 TREND TDCI Manual,"₹4,65,699"
91,2019 Hyundai VENUE,1st Owner,"31,118 km",Petrol,Manual,S MT Turbo GDI 1.0L Manual,"₹8,88,899"
92,2019 Hyundai GRAND I10 NIOS,1st Owner,"5,906 km",Petrol,Manual,Asta Petrol Manual,"₹6,77,599"
93,2017 Maruti Dzire,1st Owner,"91,724 km",Diesel,Manual,VDI Manual,"₹5,85,999"
94,2015 Hyundai Creta,1st Owner,"24,768 km",Diesel,Manual,1.6 SX (O) CRDI Manual,"₹8,86,899"
95,2015 Hyundai Creta,1st Owner,"1,14,245 km",Diesel,Manual,1.6 SX (O) CRDI Manual,"₹8,27,299"
96,2015 Hyundai Creta,1st Owner,"58,003 km",Diesel,Manual,1.6 SX (O) CRDI Manual,"₹8,26,899"
97,2014 Ford Ecosport,1st Owner,"1,27,254 km",Diesel,Manual,1.5TITANIUM TDCI Manual,"₹4,27,399"
98,2016 Maruti Baleno,2nd Owner,"32,766 km",Petrol,Manual,ZETA 1.2 K12 Manual,"₹5,56,999"
99,2014 Ford Ecosport,2nd Owner,"59,522 km",Diesel,Manual,1.5TITANIUM TDCI Manual,"₹4,66,799"
100,2015 Hyundai Elite i20,2nd Owner,"59,080 km",Petrol,Manual,SPORTZ 1.2 Manual,"₹4,69,399"
101,2014 Hyundai Elite i20,1st Owner,"72,861 km",Diesel,Manual,SPORTZ (O) 1.4 Manual,"₹5,05,699"
102,2016 Maruti Baleno,1st Owner,"67,332 km",Diesel,Manual,ALPHA DDIS 190 Manual,"₹6,19,199"
103,2013 Honda Amaze,2nd Owner,"1,09,366 km",Diesel,Manual,1.5 VXMT I DTEC Manual,"₹2,94,799"
104,2013 Toyota Innova,2nd Owner,"1,21,060 km",Diesel,Manual,2.5 GX 7 STR BS IV Manual,"₹6,80,299"
105,2016 Maruti Baleno,1st Owner,"53,256 km",Petrol,Automatic,ZETA 1.2 K12 CVT Automatic,"₹5,60,999"
106,2014 Toyota Innova,1st Owner,"69,958 km",Diesel,Manual,2.5 VX 8 STR BS IV Manual,"₹10,59,099"
107,2014 Ford Ecosport,2nd Owner,"50,683 km",Diesel,Manual,1.5TITANIUM TDCI Manual,"₹4,93,899"
108,2016 Maruti Vitara Brezza,1st Owner,"30,116 km",Diesel,Manual,VDI Manual,"₹6,12,699"
109,2016 Maruti Baleno,1st Owner,"80,392 km",Petrol,Manual,DELTA 1.2 K12 Manual,"₹5,22,999"
110,2013 Maruti Ertiga,1st Owner,"1,12,745 km",Diesel,Manual,VDI ABS Manual,"₹4,59,999"
111,2017 Hyundai Creta,1st Owner,"19,885 km",Diesel,Manual,1.4 E PLUS CRDI Manual,"₹8,60,399"
112,2016 Tata Tiago,1st Owner,"31,278 km",Petrol,Manual,XZ 1.2 REVOTRON Manual,"₹4,27,099"
113,2016 Maruti Baleno,1st Owner,"82,394 km",Petrol,Manual,DELTA 1.2 K12 Manual,"₹4,93,399"
114,2013 Hyundai Grand i10,1st Owner,"22,044 km",Petrol,Manual,SPORTZ 1.2 KAPPA VTVT Manual,"₹4,06,599"
115,2014 Hyundai Grand i10,1st Owner,"28,692 km",Petrol,Manual,SPORTS 1.2 VTVT Manual,"₹4,30,699"
116,2016 Maruti Baleno,1st Owner,"63,363 km",Diesel,Manual,DELTA DDIS 190 Manual,"₹5,42,899"
117,2016 Maruti Vitara Brezza,1st Owner,"59,773 km",Diesel,Manual,VDI OPT Manual,"₹6,66,399"
118,2016 Maruti Vitara Brezza,1st Owner,"1,01,529 km",Diesel,Manual,ZDI Manual,"₹6,55,999"
119,2014 Maruti Ciaz,1st Owner,"62,366 km",Diesel,Manual,VDI PLUS Manual,"₹5,15,399"
120,2015 Hyundai i10,1st Owner,"61,140 km",Petrol,Manual,SPORTZ 1.1 IRDE2 Manual,"₹3,41,799"
121,2014 Maruti Ciaz,1st Owner,"1,13,158 km",Diesel,Manual,VDI PLUS Manual,"₹5,00,599"
122,2018 Maruti IGNIS,1st Owner,"17,318 km",Petrol,Manual,DELTA 1.2 K12 Manual,"₹4,93,799"
123,2013 Toyota Fortuner,1st Owner,"74,189 km",Diesel,Automatic,3.0 AT 4X2 Automatic,"₹13,59,099"
124,2016 Maruti Vitara Brezza,1st Owner,"34,879 km",Diesel,Manual,ZDI PLUS Manual,"₹7,20,599"
125,2016 Maruti Vitara Brezza,1st Owner,"65,443 km",Diesel,Manual,ZDI Manual,"₹7,18,099"
126,2013 Honda Brio,1st Owner,"27,915 km",Petrol,Automatic,1.2 VX AT I VTEC Automatic,"₹3,95,899"
127,2017 Maruti Ciaz,2nd Owner,"66,396 km",Diesel,Manual,DELTA 1.3 DDIS SHVS Manual,"₹5,90,399"
128,2016 Ford Ecosport,1st Owner,"7,789 km",Petrol,Manual,1.5 TITANIUM TI VCT Manual,"₹7,33,799"
129,2014 Toyota Innova,1st Owner,"1,10,827 km",Diesel,Manual,2.5 VX 7 STR BS IV Manual,"₹8,11,199"
130,2018 Hyundai Elite i20,1st Owner,"15,022 km",Petrol,Manual,Magna Executive 1.2 Manual,"₹5,76,499"
131,2013 Maruti Swift Dzire,1st Owner,"31,505 km",Petrol,Manual,VXI 1.2 BS IV Manual,"₹4,19,199"
132,2014 Maruti Ertiga,2nd Owner,"94,820 km",Diesel,Manual,ZDI Manual,"₹5,26,599"
133,2015 Honda Jazz,1st Owner,"34,295 km",Petrol,Automatic,1.2 V AT Automatic,"₹5,82,099"
134,2017 Hyundai Elite i20,1st Owner,"32,515 km",Petrol,Manual,Magna Executive 1.2 Manual,"₹5,49,299"
135,2016 Ford Ecosport,1st Owner,"22,197 km",Petrol,Manual,1.5 TITANIUM TI VCT Manual,"₹7,25,999"
136,2017 Hyundai Verna,1st Owner,"43,938 km",Diesel,Automatic,1.6 CRDI SX + AT Automatic,"₹9,77,399"
137,2012 Maruti Swift,2nd Owner,"68,206 km",Diesel,Manual,VDI Manual,"₹2,82,099"
138,2018 Honda Amaze,1st Owner,"14,259 km",Petrol,Automatic,1.2 V CVT I VTEC Automatic,"₹7,30,099"
139,2015 Honda Jazz,1st Owner,"44,142 km",Petrol,Manual,1.2 S I VTEC Manual,"₹4,87,299"
140,2013 Toyota Fortuner,2nd Owner,"1,17,460 km",Diesel,Manual,3.0 MT 4X2 Manual,"₹12,09,899"
141,2014 Maruti Ertiga,1st Owner,"1,46,493 km",Diesel,Manual,VDI ABS Manual,"₹4,96,799"
142,2013 Hyundai Grand i10,1st Owner,"63,184 km",Diesel,Manual,MAGNA 1.1 CRDI Manual,"₹2,95,399"
143,2019 Ford Figo Aspire,1st Owner,"10,063 km",Petrol,Manual,1.2 TITANIUM+ PETROL Manual,"₹6,43,199"
144,2017 Maruti Ciaz,1st Owner,"82,599 km",Diesel,Manual,VDI+ SHVS Manual,"₹6,06,499"
145,2018 Hyundai Elite i20,2nd Owner,"74,782 km",Diesel,Manual,ASTA 1.4 CRDI Manual,"₹6,72,999"
146,2015 Maruti Ertiga,1st Owner,"52,870 km",Diesel,Manual,ZDI Manual,"₹6,37,999"
147,2018 Ford Figo Aspire,1st Owner,"39,845 km",Petrol,Manual,1.2 TITANIUM PETROL Manual,"₹5,56,999"
148,2013 Toyota Fortuner,1st Owner,"1,97,792 km",Diesel,Automatic,3.0 AT 4X2 Automatic,"₹12,09,699"
149,2017 Toyota Fortuner,1st Owner,"92,357 km",Diesel,Manual,2.8 4x2 MT Manual,"₹26,43,799"
150,2019 MG HECTOR,1st Owner,"7,748 km",Petrol,,SHARP DCT PETROL,"₹17,98,799"
151,2019 MG HECTOR,1st Owner,"8,683 km",Petrol,Manual,SHARP HYBIRD PETROL MT Manual,"₹16,11,399"
152,2016 Maruti Vitara Brezza,1st Owner,"54,460 km",Diesel,Manual,ZDI Manual,"₹7,30,899"
153,2016 Hyundai Elite i20,2nd Owner,"36,328 km",Petrol,Manual,ASTA 1.2 (O) Manual,"₹5,78,099"
154,2017 Hyundai Elite i20,2nd Owner,"19,791 km",Petrol,Manual,Magna Executive 1.2 Manual,"₹5,53,299"
155,2017 Ford Ecosport,1st Owner,"20,923 km",Petrol,Automatic,1.5 TITANIUM TI VCT AT Automatic,"₹7,84,199"
156,2017 Hyundai Elite i20,1st Owner,"47,175 km",Diesel,Manual,SPORTZ 1.4 Manual,"₹6,13,899"
157,2013 Hyundai Grand i10,1st Owner,"43,986 km",Petrol,Manual,MAGNA 1.2 VTVT Manual,"₹3,95,299"
158,2014 Renault Duster,1st Owner,"74,222 km",Diesel,Manual,RXL 110 PS ADVENTURE Manual,"₹4,55,499"
159,2019 MG HECTOR,2nd Owner,"21,150 km",Petrol,Automatic,SHARP DCT PETROL Automatic,"₹14,87,799"
160,2020 Honda City,1st Owner,"11,839 km",Petrol,Automatic,ZX CVT Automatic,"₹14,06,299"
161,2016 Honda Brio,1st Owner,"1,24,310 km",Petrol,Manual,1.2 VX MT I VTEC Manual,"₹3,53,099"
162,2018 Hyundai Grand i10,1st Owner,"63,295 km",Petrol,,Sports (O) 1.2 AT VTVT,"₹5,19,699"
163,2012 Maruti Swift,2nd Owner,"1,20,326 km",Diesel,Manual,VDI Manual,"₹2,60,099"
164,2017 Ford Ecosport,1st Owner,"45,923 km",Diesel,Manual,1.5TITANIUM TDCI Manual,"₹6,54,399"
165,2015 Toyota Etios,1st Owner,"29,387 km",Diesel,Manual,CROSS VD Manual,"₹5,03,799"
166,2018 Hyundai Elite i20,1st Owner,"9,707 km",Petrol,,Magna Executive 1.2 AT,"₹7,01,699"
167,2016 Maruti Swift Dzire,2nd Owner,"79,048 km",Diesel,Manual,VDI ABS Manual,"₹5,01,899"
168,2017 Hyundai Elite i20,1st Owner,"46,042 km",Petrol,Manual,ASTA 1.2 (O) Manual,"₹6,37,599"
169,2012 Honda Brio,1st Owner,"27,194 km",Petrol,Manual,1.2 V MT I VTEC Manual,"₹3,11,999"
170,2019 Maruti Dzire,1st Owner,"41,053 km",Petrol,Manual,VXI Manual,"₹6,31,899"
171,2017 Ford Ecosport,1st Owner,"37,026 km",Petrol,Manual,1.0 ECOBOOST TITANIUM OPT Manual,"₹7,12,299"
172,2017 Maruti S Cross,2nd Owner,"96,542 km",Diesel,Manual,ALPHA SHVS Manual,"₹8,45,999"
173,2017 Ford Ecosport,1st Owner,"36,421 km",Diesel,Manual,1.5TITANIUM TDCI Manual,"₹6,82,699"
174,2012 Toyota Fortuner,1st Owner,"1,46,017 km",Diesel,Manual,3.0 MT 4X2 Manual,"₹10,72,299"
175,2017 Maruti Baleno,1st Owner,"45,688 km",Petrol,Manual,DELTA 1.2 K12 Manual,"₹5,67,099"
176,2017 Ford Ecosport,1st Owner,"63,429 km",Diesel,Manual,1.5 TREND+ TDCI Manual,"₹6,28,999"
177,2020 Maruti S PRESSO,1st Owner,"8,239 km",Petrol,,VXI PLUS,"₹4,76,499"
178,2017 Maruti Baleno,1st Owner,"62,283 km",Diesel,Manual,DELTA DDIS 190 Manual,"₹5,39,599"
179,2017 Ford Ecosport,1st Owner,"18,458 km",Petrol,Manual,1.5 TITANIUM TI VCT Manual,"₹7,16,699"
180,2016 Ford Ecosport,1st Owner,"27,829 km",Petrol,Manual,1.5 TITANIUM TI VCT Manual,"₹7,15,099"
181,2018 Ford Ecosport,1st Owner,"42,231 km",Diesel,Manual,1.5TITANIUM TDCI Manual,"₹8,57,099"
182,2016 Ford Ecosport,1st Owner,"53,201 km",Petrol,Manual,1.5 TITANIUM TI VCT Manual,"₹6,94,099"
183,2015 Hyundai Grand i10,1st Owner,"73,907 km",Diesel,Manual,SPORTZ 1.1 CRDI Manual,"₹3,57,899"
184,2015 Hyundai Grand i10,1st Owner,"86,636 km",Diesel,Manual,SPORTZ 1.1 CRDI Manual,"₹3,54,399"
185,2012 Honda Brio,1st Owner,"46,959 km",Petrol,Manual,1.2 S MT I VTEC Manual,"₹2,81,999"
186,2019 Renault Kwid,1st Owner,"41,661 km",Petrol,Manual,RXL Manual,"₹3,44,499"
187,2018 Ford Ecosport,1st Owner,"28,379 km",Diesel,Manual,1.5TITANIUM TDCI Manual,"₹8,41,399"
188,2014 Honda City,1st Owner,"79,174 km",Diesel,Manual,SV MT DIESEL Manual,"₹5,22,599"
189,2018 Ford Ecosport,1st Owner,"38,471 km",Diesel,Manual,1.5TITANIUM TDCI Manual,"₹8,30,399"
190,2015 Ford Ecosport,1st Owner,"46,053 km",Diesel,Manual,1.5TITANIUM TDCI Manual,"₹5,32,899"
191,2014 Maruti Ritz,1st Owner,"79,805 km",Diesel,Manual,VDI Manual,"₹3,64,299"
192,2018 Ford Ecosport,2nd Owner,"16,826 km",Diesel,Manual,1.5 TDCI TITANIUM PLUS Manual,"₹8,23,199"
193,2018 Ford Ecosport,1st Owner,"40,788 km",Diesel,Manual,1.5 TDCI TITANIUM PLUS Manual,"₹8,06,299"
194,2018 Ford Ecosport,2nd Owner,"24,772 km",Diesel,Manual,1.5 TDCI TITANIUM PLUS Manual,"₹8,51,099"
195,2018 Ford Ecosport,1st Owner,"52,521 km",Diesel,Manual,1.5 TITANIUMTDCI OPT Manual,"₹8,20,899"
196,2017 Hyundai Elite i20,2nd Owner,"83,787 km",Diesel,Manual,1.4 CRDI ASTA (O) Manual,"₹6,29,299"
197,2016 Ford Ecosport,1st Owner,"57,927 km",Petrol,Manual,1.5 TITANIUM TI VCT Manual,"₹6,86,699"
198,2020 Maruti S PRESSO,1st Owner,"15,934 km",Petrol,Manual,VXI PLUS Manual,"₹4,41,499"
199,2020 Maruti S PRESSO,1st Owner,"6,637 km",Petrol,Manual,VXI Manual,"₹4,51,999"
200,2020 Maruti S PRESSO,1st Owner,"13,207 km",Petrol,Manual,VXI Manual,"₹4,51,999"
201,2015 Ford Ecosport,1st Owner,"81,218 km",Diesel,Manual,1.5 TITANIUMTDCI OPT Manual,"₹5,25,999"
202,2012 Maruti Swift,1st Owner,"82,702 km",Diesel,Manual,VDI Manual,"₹2,87,099"
203,2019 Maruti Baleno,1st Owner,"41,575 km",Petrol,Manual,DELTA 1.2 K12 Manual,"₹6,24,999"
204,2014 Toyota Fortuner,1st Owner,"1,75,240 km",Diesel,Manual,SPORTIVO 4X2 MT Manual,"₹12,73,899"
205,2019 Ford Ecosport,1st Owner,"24,435 km",Petrol,Automatic,TREND + 1.5 TI VCT AT Automatic,"₹8,36,599"
206,2017 Ford Ecosport,1st Owner,"60,954 km",Diesel,Manual,1.5 TITANIUM PLATINUM EDITION DIESEL Manual,"₹6,99,899"
207,2013 Maruti Swift,2nd Owner,"78,932 km",Diesel,Manual,VDI Manual,"₹3,40,699"
208,2020 Maruti S PRESSO,1st Owner,"6,100 km",Petrol,Manual,VXI Manual,"₹4,51,999"
209,2012 Volkswagen Polo,1st Owner,"1,26,101 km",Petrol,Manual,HIGHLINE1.2L PETROL Manual,"₹3,51,299"
210,2019 Ford Ecosport,1st Owner,"53,457 km",Diesel,Manual,1.5 TREND+ TDCI Manual,"₹7,45,399"
211,2018 Ford Ecosport,2nd Owner,"46,082 km",Diesel,Manual,1.5TITANIUM TDCI Manual,"₹8,09,899"
212,2016 Ford Ecosport,1st Owner,"77,133 km",Diesel,Manual,1.5TITANIUM TDCI Manual,"₹6,19,899"
213,2013 Toyota Etios Liva,1st Owner,"97,829 km",Diesel,Manual,GD exclusive Manual,"₹3,26,999"
214,2018 Renault Kwid,1st Owner,"29,932 km",Petrol,Manual,1.0 RXT Opt Manual,"₹3,39,999"
215,2018 Maruti Baleno,1st Owner,"68,793 km",Petrol,Manual,DELTA 1.2 K12 Manual,"₹5,61,399"
216,2013 Maruti Swift Dzire,2nd Owner,"49,944 km",Diesel,Manual,LDI BS IV Manual,"₹3,03,099"
217,2016 Ford Ecosport,1st Owner,"90,171 km",Diesel,Manual,1.5TITANIUM TDCI Manual,"₹6,02,999"
218,2009 Maruti Zen Estilo,1st Owner,"44,191 km",Petrol,Manual,VXI Manual,"₹2,11,499"
219,2018 Maruti Vitara Brezza,1st Owner,"36,807 km",Diesel,Manual,VDI OPT Manual,"₹7,21,299"
220,2013 Toyota Etios Liva,1st Owner,"1,18,924 km",Diesel,Manual,GD Manual,"₹3,27,399"
221,2017 Hyundai Grand i10,2nd Owner,"44,688 km",Petrol,Manual,SPORTZ O 1.2 Manual,"₹4,30,499"
222,2014 Maruti Swift Dzire,1st Owner,"79,136 km",Diesel,Manual,LDI BS IV Manual,"₹3,41,799"
223,2013 Maruti Swift,1st Owner,"82,987 km",Diesel,Manual,VDI Manual,"₹3,50,899"
224,2020 Maruti Baleno,1st Owner,"20,791 km",Petrol,Manual,DELTA 1.2 K12 Manual,"₹6,91,299"
225,2015 Ford Ecosport,2nd Owner,"99,783 km",Diesel,Manual,1.5TITANIUM TDCI Manual,"₹5,19,599"
226,2019 Maruti Alto,1st Owner,"13,299 km",Petrol,Manual,VXI Manual,"₹3,80,899"
