,Brand,Owner,kilometers,Fuel,Transmission,Model,Price
1293,2013 Ford Ecosport,1st Owner,"1,13,857 km",Diesel,Manual,1.5 AMBIENTE TDCI Manual,"₹3,83,299"
1294,2014 Toyota Innova,1st Owner,"84,036 km",Diesel,Manual,2.5 VX 8 STR BS IV Manual,"₹10,24,099"
1295,2017 Maruti Ciaz,1st Owner,"1,07,013 km",Diesel,Manual,VDI+ SHVS Manual,"₹6,38,799"
1296,2014 Maruti Ciaz,1st Owner,"93,428 km",Diesel,Manual,VDI PLUS Manual,"₹5,12,299"
1297,2015 Maruti Swift,1st Owner,"89,196 km",Diesel,Manual,VDI ABS Manual,"₹4,24,299"
1298,2011 Honda City,1st Owner,"1,49,072 km",Petrol,Manual,V MT PETROL Manual,"₹3,25,499"
1299,2017 Maruti Vitara Brezza,1st Owner,"35,231 km",Diesel,Manual,VDI OPT Manual,"₹6,84,399"
1300,2020 KIA SELTOS,2nd Owner,"5,822 km",Petrol,Manual,HTK 1.5 PETROL Manual,"₹11,15,899"
1301,2014 Ford Ecosport,1st Owner,"59,119 km",Petrol,Manual,1.0 ECOBOOST TITANIUM OPT Manual,"₹5,42,199"
1302,2016 Maruti Vitara Brezza,2nd Owner,"73,453 km",Diesel,Manual,VDI OPT Manual,"₹6,39,199"
1303,2018 Hyundai Tucson New,1st Owner,"58,368 km",Diesel,Automatic,2WD AT GL DIESEL Automatic,"₹16,38,299"
1304,2016 Ford Ecosport,1st Owner,"55,312 km",Petrol,Manual,1.5 TITANIUM TI VCT Manual,"₹6,94,599"
1305,2014 Hyundai Xcent,1st Owner,"42,384 km",Petrol,Manual,BASE 1.2 Manual,"₹3,88,699"
1306,2016 Maruti Vitara Brezza,2nd Owner,"29,749 km",Diesel,Manual,ZDI PLUS DUAL TONE Manual,"₹6,90,099"
1307,2017 Maruti Vitara Brezza,1st Owner,"35,406 km",Diesel,Manual,VDI OPT Manual,"₹7,38,299"
1308,2018 Hyundai Elite i20,1st Owner,"16,303 km",Petrol,Manual,ERA 1.2 Manual,"₹5,38,999"
1309,2014 Toyota Corolla Altis,1st Owner,"1,03,033 km",Diesel,Manual,D 4D J Manual,"₹7,07,599"
1310,2013 Hyundai New Elantra,2nd Owner,"47,959 km",Diesel,Manual,S 1.6 MT Manual,"₹6,36,099"
1311,2018 Toyota YARIS,1st Owner,"16,251 km",Petrol,Manual,J MT Manual,"₹7,35,899"
1312,2016 Hyundai Creta,1st Owner,"54,233 km",Diesel,Manual,1.4 S CRDI Manual,"₹8,25,299"
1313,2016 Maruti Alto K10,1st Owner,"32,669 km",Petrol,Manual,LXI Manual,"₹2,96,299"
1314,2017 Ford Ecosport,1st Owner,"40,139 km",Petrol,Automatic,1.5 TITANIUM TI VCT AT Automatic,"₹7,25,699"
1315,2014 Toyota Corolla Altis,1st Owner,"1,15,010 km",Petrol,Manual,G Manual,"₹6,69,999"
1316,2017 Maruti Baleno,2nd Owner,"12,322 km",Petrol,Manual,DELTA 1.2 K12 Manual,"₹5,54,299"
1317,2017 Hyundai Elite i20,2nd Owner,"25,579 km",Petrol,Manual,ASTA 1.2 Manual,"₹6,19,299"
1318,2016 Maruti Alto 800,1st Owner,"50,355 km",Petrol,Manual,LXI Manual,"₹2,78,399"
1319,2020 Honda City,1st Owner,"10,322 km",Petrol,Automatic,ZX CVT Automatic,"₹13,17,899"
1320,2014 Toyota Corolla Altis,1st Owner,"1,26,822 km",Diesel,Manual,D 4D G Manual,"₹7,49,499"
1321,2018 Ford Ecosport,1st Owner,"25,232 km",Petrol,Manual,1.5 TITANIUM TI VCT Manual,"₹8,01,999"
1322,2015 Hyundai Creta,1st Owner,"89,521 km",Diesel,Manual,1.6 SX (O) CRDI Manual,"₹8,24,399"
1323,2016 Maruti Alto 800,1st Owner,"2,831 km",Petrol,Manual,VXI Manual,"₹2,99,499"
1324,2019 Renault Kwid,2nd Owner,"17,515 km",Petrol,Manual,RXL Manual,"₹3,44,499"
1325,2015 Toyota Etios,1st Owner,"77,530 km",Diesel,Manual,VX D Manual,"₹5,04,999"
1326,2015 Hyundai Creta,1st Owner,"53,083 km",Petrol,Manual,1.6 SX PLUS PETROL Manual,"₹8,00,299"
